delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delivery_rating,delivery_cost,Delivery_Status
dhl,documents,ev bike,two day,east,hot,230.8,30.01,4,1244.03,delivered
dhl,clothing,bike,express,west,clear,93.0,9.37,4,543.11,delivered
dhl,electronics,van,two day,west,clear,10.4,4.59,4,95.6674,delivered
amazon logistics,pharmacy,truck,two day,north,hot,194.9,2.42,4,981.76,delivered
ekart,documents,scooter,express,west,rainy,182.1,2.26,2,967.28,delayed
blue dart,cosmetics,ev bike,standard,south,clear,38.8,40.89,4,316.67,delivered
dhl,groceries,bike,two day,north,cold,55.2,6.78,3,296.34,delivered
delhivery,pharmacy,truck,express,east,stormy,223.3,44.36,1,1299.58,failed
delhivery,electronics,truck,express,west,hot,46.2,14.83,5,325.49,delivered
delhivery,documents,ev bike,two day,south,hot,3.6,49.52,5,163.39,delivered
xpressbees,groceries,scooter,express,north,hot,297.1,22.0,5,1615.5,delivered
xpressbees,electronics,bike,express,central,hot,87.8,7.72,5,512.16,delivered
xpressbees,groceries,truck,express,central,hot,267.4,11.53,2,1421.59,delayed
fedex,furniture,ev van,two day,east,stormy,124.8,10.84,4,656.52,delivered
xpressbees,groceries,ev bike,express,south,clear,288.9,8.3,4,1519.4,delivered
blue dart,furniture,scooter,two day,central,hot,129.5,39.84,4,767.02,delivered
ecom express,fragile items,van,same day,south,foggy,225.0,7.32,3,1246.96,delayed
fedex,cosmetics,scooter,standard,south,stormy,289.7,24.36,5,1521.58,delivered
ecom express,electronics,ev bike,standard,south,rainy,85.4,41.07,4,550.21,delivered
blue dart,pharmacy,truck,same day,east,hot,9.9,30.24,3,240.22,delivered
fedex,automobile parts,van,standard,west,hot,135.1,37.59,5,788.27,delivered
xpressbees,fragile items,bike,standard,south,stormy,228.6,5.64,4,1159.92,delivered
fedex,documents,truck,express,north,rainy,169.6,41.44,3,1022.32,delayed
fedex,fragile items,van,express,central,foggy,250.7,29.97,2,1393.41,failed
blue dart,fragile items,bike,two day,north,rainy,80.7,0.67,4,404.76,delivered
dhl,groceries,scooter,two day,east,stormy,21.3,41.19,3,230.07,delivered
ekart,fragile items,ev bike,two day,north,clear,67.1,32.91,4,434.23,delivered
ekart,pharmacy,ev bike,standard,west,foggy,69.4,0.99,3,349.97,delivered
xpressbees,cosmetics,van,two day,south,cold,101.2,39.37,5,624.11,delivered
shadowfax,cosmetics,ev bike,two day,north,rainy,94.2,49.37,4,619.11,delivered
shadowfax,fragile items,ev bike,same day,north,foggy,71.0,32.56,3,552.68,delivered
dhl,automobile parts,truck,two day,east,foggy,37.4,42.36,4,314.08,delivered
ecom express,fragile items,scooter,two day,north,cold,157.0,43.03,4,914.09,delivered
delhivery,groceries,van,same day,east,cold,213.7,49.52,5,1317.81,delivered
dhl,pharmacy,ev bike,express,central,cold,272.6,12.84,2,1451.52,delayed
blue dart,pharmacy,scooter,express,south,stormy,83.5,24.02,2,539.56,delayed
dhl,fragile items,truck,express,central,foggy,198.5,20.1,5,1102.8,delivered
ecom express,groceries,ev bike,express,west,hot,158.7,35.06,2,948.68,failed
dhl,documents,truck,same day,north,clear,265.3,31.8,5,1521.9,delivered
ecom express,cosmetics,truck,express,east,stormy,208.8,22.83,2,1162.49,delayed
fedex,automobile parts,scooter,express,east,rainy,55.7,46.5,1,468.0,failed
xpressbees,automobile parts,van,standard,east,foggy,80.6,45.16,3,538.48,delivered
fedex,clothing,bike,same day,east,stormy,187.7,6.69,3,1058.57,delayed
ekart,automobile parts,bike,standard,south,foggy,225.6,22.83,5,1196.49,delivered
xpressbees,fragile items,truck,express,east,rainy,24.5,0.67,2,174.12,delayed
ecom express,clothing,scooter,standard,west,rainy,194.3,29.51,4,1060.03,delivered
ekart,electronics,van,express,central,foggy,52.0,43.18,3,439.54,delayed
amazon logistics,clothing,van,same day,north,clear,282.9,31.33,2,1608.49,delayed
ekart,automobile parts,van,same day,north,cold,289.2,16.14,1,1594.42,failed
xpressbees,cosmetics,ev bike,standard,east,cold,257.9,45.92,3,1427.26,delivered
amazon logistics,pharmacy,van,same day,east,hot,258.3,42.79,2,1519.87,delayed
fedex,pharmacy,ev van,express,central,rainy,288.4,44.12,2,1624.36,delayed
xpressbees,groceries,van,express,east,hot,86.5,37.04,4,593.62,delivered
ekart,automobile parts,ev van,same day,south,stormy,157.3,4.51,2,900.03,delayed
delhivery,clothing,ev van,standard,central,rainy,41.0,29.25,5,292.75,delivered
delhivery,documents,van,standard,central,foggy,137.4,27.87,3,770.61,delivered
fedex,clothing,ev bike,standard,north,clear,32.3,46.58,4,301.24,delivered
ecom express,fragile items,van,express,central,clear,207.8,40.12,2,1209.36,delayed
blue dart,furniture,ev van,standard,south,foggy,23.6,12.4,4,155.2,delivered
fedex,cosmetics,ev bike,standard,south,clear,258.0,37.92,4,1403.76,delivered
xpressbees,automobile parts,van,same day,north,cold,255.6,18.93,5,1434.79,delivered
blue dart,clothing,scooter,standard,north,cold,289.7,19.13,5,1505.89,delivered
xpressbees,automobile parts,ev van,express,north,rainy,9.1,45.65,3,232.45,delayed
ekart,clothing,truck,standard,west,foggy,245.8,4.19,5,1241.57,delivered
amazon logistics,cosmetics,ev bike,two day,central,hot,88.6,8.67,3,469.01,delivered
shadowfax,cosmetics,ev bike,standard,central,rainy,59.6,20.84,4,360.52,delivered
fedex,fragile items,bike,express,east,hot,225.4,22.3,5,1243.9,delivered
blue dart,clothing,scooter,express,south,clear,36.9,45.45,3,370.85,delayed
fedex,automobile parts,ev van,same day,central,stormy,262.9,31.73,2,1509.69,delayed
amazon logistics,fragile items,scooter,standard,central,clear,262.7,28.7,5,1399.6,delivered
delhivery,electronics,ev van,two day,east,hot,167.2,35.91,3,943.73,delivered
xpressbees,pharmacy,van,express,south,hot,127.4,3.49,3,697.47,delivered
fedex,fragile items,ev van,standard,central,foggy,267.0,26.49,3,1414.47,delivered
xpressbees,furniture,truck,same day,south,cold,214.0,34.34,4,1273.02,delivered
shadowfax,groceries,bike,same day,east,stormy,10.6,42.68,5,281.04,delivered
dhl,documents,scooter,same day,central,rainy,124.2,1.02,5,724.06,delivered
ekart,furniture,ev van,two day,north,stormy,129.5,13.38,4,687.64,delivered
shadowfax,automobile parts,scooter,express,south,foggy,257.0,10.83,2,1367.49,delayed
blue dart,pharmacy,scooter,two day,south,hot,264.9,43.16,5,1453.98,delivered
shadowfax,cosmetics,bike,two day,west,stormy,163.5,19.83,5,876.99,delivered
delhivery,fragile items,truck,same day,north,hot,34.6,47.42,4,415.26,delivered
shadowfax,fragile items,ev bike,two day,north,rainy,183.1,38.15,4,1029.95,delivered
shadowfax,groceries,ev van,standard,south,clear,138.7,43.15,5,822.95,delivered
delhivery,cosmetics,ev van,same day,south,foggy,127.5,41.92,5,863.26,delivered
xpressbees,documents,ev van,standard,west,clear,295.3,8.06,4,1500.68,delivered
dhl,pharmacy,ev van,express,central,foggy,297.1,2.64,3,1551.92,delayed
amazon logistics,documents,truck,same day,east,foggy,123.5,29.37,2,805.61,delayed
delhivery,automobile parts,ev bike,standard,south,stormy,280.4,3.78,4,1413.34,delivered
blue dart,cosmetics,truck,express,west,hot,74.1,28.64,1,506.42,failed
fedex,pharmacy,bike,express,west,cold,58.9,11.97,3,380.41,delivered
blue dart,furniture,bike,standard,north,clear,197.4,47.42,5,1129.26,delivered
ekart,furniture,bike,same day,central,foggy,150.6,22.4,4,920.2,delivered
shadowfax,fragile items,van,two day,east,hot,224.0,31.45,3,1214.35,delivered
blue dart,documents,van,two day,west,rainy,33.9,29.91,5,259.23,delivered
xpressbees,fragile items,truck,two day,north,cold,145.2,46.17,3,864.51,delivered
delhivery,documents,truck,two day,central,stormy,204.9,41.15,4,1147.95,delivered
blue dart,clothing,van,standard,central,foggy,150.8,39.64,3,872.92,delivered
shadowfax,cosmetics,ev bike,standard,central,clear,86.6,16.17,5,481.51,delivered
amazon logistics,cosmetics,ev van,standard,east,stormy,150.7,17.56,4,806.18,delivered
blue dart,groceries,scooter,two day,north,clear,176.0,18.92,4,936.76,delivered
ekart,pharmacy,scooter,standard,east,rainy,165.6,18.69,3,884.07,delivered
ecom express,cosmetics,ev van,two day,west,foggy,170.2,44.12,5,983.36,delivered
ecom express,fragile items,ev van,express,east,clear,133.4,24.33,2,789.99,failed
shadowfax,automobile parts,scooter,same day,east,clear,100.0,33.34,3,700.02,delivered
fedex,fragile items,truck,two day,south,cold,22.1,11.47,5,144.91,delivered
dhl,groceries,truck,two day,west,foggy,14.9,49.35,3,222.55,delivered
shadowfax,documents,truck,standard,east,clear,160.6,48.08,4,947.24,delivered
shadowfax,electronics,ev van,express,west,rainy,257.8,30.28,1,1429.84,failed
ekart,pharmacy,bike,standard,north,stormy,235.9,46.05,3,1317.65,delivered
delhivery,pharmacy,truck,express,south,cold,161.3,41.74,3,981.72,delivered
blue dart,cosmetics,scooter,express,central,foggy,192.2,4.85,2,1025.55,delayed
ecom express,electronics,ev bike,two day,west,rainy,293.0,48.5,5,1610.5,delivered
dhl,cosmetics,truck,same day,west,foggy,290.2,15.21,3,1596.63,delayed
fedex,fragile items,ev bike,standard,east,hot,297.1,10.39,4,1523.17,delivered
fedex,cosmetics,ev van,express,east,clear,5.9,49.52,4,228.09,delivered
amazon logistics,furniture,ev bike,same day,west,stormy,191.2,5.3,3,1071.9,delayed
delhivery,electronics,ev van,same day,west,foggy,223.8,32.15,2,1315.45,delayed
delhivery,furniture,ev bike,two day,east,cold,31.8,46.64,5,298.92,delivered
ekart,pharmacy,truck,standard,central,foggy,109.6,49.52,5,696.68,delivered
fedex,pharmacy,van,two day,south,stormy,50.4,43.7,5,383.1,delivered
xpressbees,pharmacy,van,two day,south,hot,116.0,45.04,4,715.12,delivered
fedex,furniture,van,standard,west,hot,132.9,24.05,5,736.65,delivered
dhl,furniture,truck,same day,west,clear,54.3,47.84,5,515.02,delivered
ecom express,documents,ev bike,same day,east,foggy,149.3,9.87,3,876.11,delivered
blue dart,pharmacy,van,two day,central,clear,57.1,12.91,5,324.23,delivered
shadowfax,documents,truck,standard,central,clear,276.8,10.69,4,1416.07,delivered
fedex,furniture,van,standard,south,foggy,51.7,34.82,5,362.96,delivered
fedex,groceries,truck,two day,west,foggy,154.3,1.91,5,777.23,delivered
amazon logistics,cosmetics,ev bike,standard,central,hot,103.9,11.4,5,553.7,delivered
ekart,automobile parts,van,express,central,hot,127.4,22.72,2,755.16,delayed
ecom express,pharmacy,van,express,east,cold,117.4,18.36,4,692.08,delivered
ekart,clothing,scooter,same day,west,rainy,293.6,0.67,1,1569.17,failed
fedex,cosmetics,van,express,west,stormy,199.4,11.71,2,1082.13,delayed
fedex,documents,van,two day,central,clear,15.6,2.87,5,95.6674,delivered
amazon logistics,electronics,bike,standard,south,foggy,250.7,11.8,4,1288.9,delivered
dhl,clothing,ev van,same day,north,clear,164.1,25.8,5,997.9,delivered
ekart,automobile parts,ev van,same day,west,cold,35.8,18.21,4,333.63,delivered
delhivery,groceries,scooter,same day,west,stormy,142.0,41.28,5,933.84,delivered
dhl,clothing,ev van,standard,central,clear,40.9,19.04,5,261.62,delivered
amazon logistics,clothing,scooter,express,north,foggy,167.7,20.09,3,948.77,delayed
delhivery,pharmacy,van,two day,north,hot,111.8,15.89,4,606.67,delivered
ecom express,cosmetics,bike,same day,east,hot,21.0,8.0,4,229.0,delivered
fedex,groceries,truck,standard,west,hot,196.4,10.26,3,1012.78,delivered
blue dart,electronics,van,same day,central,stormy,70.8,46.37,2,593.11,delayed
ekart,groceries,scooter,two day,west,cold,230.1,25.52,4,1227.06,delivered
fedex,pharmacy,scooter,two day,west,cold,271.2,45.63,5,1492.89,delivered
ekart,clothing,ev van,standard,south,foggy,73.6,30.03,3,458.09,delivered
delhivery,documents,ev bike,standard,east,cold,92.4,17.36,4,514.08,delivered
shadowfax,electronics,bike,standard,north,hot,14.9,49.46,5,222.88,delivered
xpressbees,furniture,bike,express,west,clear,145.0,3.55,3,785.65,delayed
blue dart,clothing,bike,two day,north,hot,252.2,46.23,4,1399.69,delivered
ekart,clothing,scooter,express,north,rainy,33.9,21.07,2,282.71,delayed
ekart,clothing,ev bike,two day,north,cold,51.2,39.62,5,374.86,delivered
shadowfax,cosmetics,bike,standard,central,rainy,223.6,40.23,5,1238.69,delivered
xpressbees,furniture,scooter,two day,north,foggy,191.8,15.48,3,1005.44,delivered
xpressbees,automobile parts,bike,two day,south,cold,60.6,4.14,3,315.42,delivered
ecom express,groceries,truck,two day,central,hot,52.2,39.45,4,379.35,delivered
xpressbees,clothing,ev bike,same day,north,clear,22.1,36.84,5,321.02,delivered
ekart,clothing,truck,same day,east,cold,6.3,13.42,4,171.76,delivered
delhivery,automobile parts,ev van,standard,north,foggy,127.4,42.36,4,764.08,delivered
shadowfax,pharmacy,ev bike,two day,east,stormy,33.2,27.73,5,249.19,delivered
ecom express,documents,ev bike,same day,central,clear,88.3,38.22,5,656.16,delivered
ecom express,pharmacy,scooter,same day,south,clear,262.3,23.86,5,1483.08,delivered
ekart,pharmacy,ev van,express,east,foggy,15.8,4.79,4,143.37,delivered
ekart,clothing,truck,standard,central,foggy,239.2,4.47,5,1209.41,delivered
delhivery,cosmetics,bike,same day,east,clear,115.1,33.73,3,776.69,delivered
blue dart,clothing,bike,same day,central,clear,124.2,49.52,4,870.85,delivered
fedex,clothing,ev van,standard,south,hot,291.8,38.8,4,1575.4,delivered
fedex,cosmetics,scooter,two day,south,stormy,171.0,23.14,5,924.42,delivered
dhl,furniture,van,standard,north,stormy,12.0,43.81,5,191.43,delivered
ekart,clothing,ev bike,same day,south,stormy,238.4,24.39,3,1365.17,delayed
amazon logistics,electronics,ev bike,standard,north,cold,166.8,28.47,5,919.41,delivered
fedex,pharmacy,bike,two day,east,foggy,233.3,16.84,5,1217.02,delivered
amazon logistics,cosmetics,truck,express,north,cold,46.2,34.0,4,383.0,delivered
ecom express,clothing,ev van,express,north,rainy,79.5,28.58,3,533.24,delayed
ekart,groceries,van,same day,east,hot,273.2,47.03,2,1607.09,delayed
blue dart,groceries,truck,two day,west,stormy,129.5,19.91,3,707.23,delivered
ecom express,automobile parts,scooter,same day,north,rainy,153.7,24.73,4,942.69,delivered
shadowfax,fragile items,ev bike,same day,west,clear,193.3,8.82,4,1092.96,delivered
ekart,documents,bike,standard,east,clear,159.0,38.64,5,910.92,delivered
shadowfax,furniture,truck,two day,north,stormy,225.4,49.16,5,1274.48,delivered
fedex,automobile parts,van,same day,east,clear,67.7,48.92,3,585.26,delivered
ecom express,groceries,truck,standard,central,stormy,276.3,23.98,4,1453.44,delivered
ekart,clothing,van,express,east,hot,17.1,26.57,5,215.21,delivered
ecom express,documents,ev van,same day,central,hot,150.4,15.12,5,897.36,delivered
